Words,Frequency,Agency
outbreak,67,Fox news
health,62,Fox news
New York,20,Fox news
report,54,Fox news
spread,26,Fox news
Wuhan,35,Fox news
test,33,Fox news
market,6,Fox news
travel,36,Fox news
world,28,Fox news
weeks,19,Fox news
stock,5,Fox news
death,22,Fox news
global,5,Fox news
state,27,Fox news
official,39,Fox news
infection,33,Fox news
president,40,Fox news
fall/fell,0,Fox news
points,0,Fox news
patient,21,Fox news
day,13,Fox news
fears,4,Fox news
american,22,Fox news
confirm,21,Fox news
economy,7,Fox news
hospital,20,Fox news
pandemic,14,Fox news
symptoms,6,Fox news
doctor,20,Fox news
million,9,Fox news
oil,0,Fox news
SP 500,0,Fox news
korea,13,Fox news
public,17,Fox news
work,10,Fox news
rose,0,Fox news
cuts,3,Fox news
question,4,Fox news
passengers,18,Fox news
quarantine,18,Fox news
response,17,Fox news
warned,6,Fox news
flight,20,Fox news
NASDAQ,0,Fox news
ship,17,Fox news
sick,3,Fox news
city,9,Fox news
south,8,Fox news
workers,13,Fox news
Italy,4,Fox news
rate,0,Fox news
SARS,9,Fox news
medical,14,Fox news
risk,8,Fox news
cruise,18,Fox news
mask,6,Fox news
toll,8,Fox news
treat,6,Fox news
CDC,14,Fox news
positive,14,Fox news
airlines,9,Fox news
index,0,Fox news
number,10,Fox news
billion,5,Fox news
emergency,12,Fox news
stay,10,Fox news
Washington,6,Fox news
family,4,Fox news
Japan,12,Fox news
need,10,Fox news
senate,17,Fox news
stimulus,6,Fox news
countries,6,Fox news
europe,1,Fox news
country,13,Fox news
member,1,Fox news
supply,4,Fox news
face,6,Fox news
wash,2,Fox news
help,5,Fox news
national,9,Fox news
toilet,3,Fox news
crisis,7,Fox news
crude,0,Fox news
declares,7,Fox news
disease,6,Fox news
growth,1,Fox news
investors,1,Fox news
media,12,Fox news
shares,1,Fox news
social,7,Fox news
price,4,Fox news
room,1,Fox news
separate,0,Fox news
taken,3,Fox news
caregiver,0,Fox news
democrats,15,Fox news
federal,6,Fox news
flu,6,Fox news
outside,3,Fox news
severe,4,Fox news
vaccine,7,Fox news
close,2,Fox news
evacuees,7,Fox news
illness,10,Fox news
Iran,9,Fox news
production,1,Fox news
right,6,Fox news
woman,8,Fox news
air,7,Fox news
businesses,10,Fox news
California,8,Fox news
employee,5,Fox news
panic,5,Fox news
statement,6,Fox news
transmission,6,Fox news
bill,8,Fox news
citizens,2,Fox news
Dow,1,Fox news
republicans,7,Fox news
respiratory,8,Fox news
Sanders,8,Fox news
"ventilators, ",3,Fox news
write,1,Fox news
administration,7,Fox news
briefing,2,Fox news
international,6,Fox news
OPEC,0,Fox news
press,10,Fox news
protective,5,Fox news
restrictions,7,Fox news
sign,4,Fox news
airport,5,Fox news
order,7,Fox news
Pelosi,10,Fox news
really,1,Fox news
calls,8,Fox news
control,5,Fox news
county,9,Fox news
drug,6,Fox news
Hong Kong,7,Fox news
Princess,8,Fox news
science,0,Fox news
scientists,2,Fox news
system,3,Fox news
team,3,Fox news
thousands,3,Fox news
announce,7,Fox news
democratic,6,Fox news
department,9,Fox news
free/freedom,1,Fox news
Hydroxychloroquine,8,Fox news
suspected,2,Fox news
trial,5,Fox news
experts,3,Fox news
foreign,5,Fox news
gear,2,Fox news
impeachment,6,Fox news
