Source,Date,Title,URL,Keywords,Text
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/mtp-daily/watch/number-of-covid-19-cases-in-the-u-s-surpass-270-000-81613893896,"['crosses', 'coronavirus', 'surpass', 'united', 'number', '270000', 'states', 'inadequate', 'federal', 'covid19', 'cases', 'response', 'remains']","The number of coronavirus cases in the United States crosses 270,000 as the federal response remains inadequate."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/msnbc/watch/what-can-you-do-if-coronavirus-impacts-your-travel-plans-80977989571,"['coronavirus', 'plans', 'upcoming', 'michelle', 'baran', 'impacts', 'impacted', 'travel', 'handle', 'best', 'outbreak', 'discusses']",Michelle Baran discusses how best to handle upcoming travel that may have been impacted by the coronavirus outbreak.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/11th-hour/watch/wapo-intel-reports-warned-trump-admin-of-likely-pandemic-81048133643,"['cuomo', 'intel', 'admin', 'governors', 'reports', 'pandemic', 'likely', 'charge', 'wapo', 'warned', 'trump']",Cuomo: Governors are in charge because Trump put them in charge
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/msnbc/watch/san-francisco-shelter-in-place-in-effect-nbc-news-jacob-ward-reports-80931909668,"['coronavirus', 'shelterinplace', 'francisco', 'jacob', 'reports', 'san', 'effect', 'outbreak', 'ward', 'amid', 'nbc']",NBC News' Jacob Ward reports from San Francisco where he is under a shelter-in-place amid the coronavirus outbreak.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,http://www.msnbc.com/katy-tur/watch/fdny-commissioner-says-over-2-000-fdny-and-ems-members-out-sick-81709125885,"['york', 'sick', 'coronavirus', 'commissioner', 'daniel', '2000', 'tur', 'members', 'nigro', 'discuss', 'fdny', 'responders', 'joins', 'ems', 'katy']",FDNY Commissioner Daniel Nigro joins Katy Tur to discuss how the Coronavirus is affecting New York City’s first responders.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/msnbc/watch/gov-cuomo-asks-federal-government-to-help-prevent-price-gouging-81075269970,"['cuomo', 'price', 'asks', 'press', 'gov', 'pandemic', 'ny', 'gouging', 'help', 'federal', 'prevent']","During a press conference, NY Gov. Cuomo asks the federal government to help prevent price gouging amid the coronavirus pandemic."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/msnbc/watch/if-you-think-you-had-covid-19-how-long-should-you-self-isolate-81078341974,"['coronavirus', 'selfisolate', 'viewer', 'natalie', 'believe', 'azar', 'long', 'question', 'think', 'covid19', 'dr', 'youve']","Dr. Natalie Azar answers a viewer question: If you believe you've had coronavirus, how long should you self-isolate?"
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/mtp-daily/watch/will-maryland-consider-closing-the-eastern-shore-due-to-virus-concerns-80863301738,"['coronavirus', 'steps', 'virus', 'state', 'hogan', 'gov', 'closing', 'rise', 'concerns', 'larry', 'maryland', 'shore', 'numbers', 'eastern', 'consider', 'taking']",Gov. Larry Hogan on the steps Maryland is taking as coronavirus numbers continue to rise across the state.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/11th-hour/watch/trump-is-still-shaking-hands-during-coronavirus-pandemic-80654917707,"['washing', 'coronavirus', 'press', 'hand', 'garden', 'hands', 'pandemic', 'rose', 'despite', 'warnings', 'shaking', 'trump']","Despite warnings about hand washing and avoiding contact with others, Trump was still shaking hands with people during his coronavirus press conference in the Rose Garden."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,http://www.msnbc.com/rachel-maddow/watch/seattle-mayor-shares-insights-on-responding-to-coronavirus-outbreak-80653893903,"['insights', 'coronavirus', 'offer', 'united', 'ramps', 'number', 'novel', 'responding', 'rachel', 'mayor', 'seattle', 'talks', 'states', 'outbreak', 'shares']","Seattle Mayor Jenny Durkan talks with Rachel Maddow about managing the first major American city to deal with an outbreak of the novel coronavirus, and what advice she can offer to other cities as the number of cases across the United States ramps up."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,http://www.msnbc.com/am-joy/watch/trump-admin-response-to-coronavirus-slammed-by-nyc-mayor-80667205646,"['york', 'coronavirus', 'admin', 'trump', 'slammed', 'mayor', 'tells', 'trumps', 'reid', 'weve', 'help', 'joy', 'response', 'nyc']","Donald Trump’s federal government response to the coronavirus is slammed by New York City Mayor Bill de Blasio, who tells Joy Reid, ‘We’ve been calling and begging for help.’"
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/all-in/watch/chris-hayes-on-the-lack-of-precedent-for-the-coronavirus-80738373884,"['coronavirus', 'hereis', 'lack', 'advantage', 'aim', 'collectively', 'mobilize', 'precedent', 'help', 'combat', 'chris', 'hayes', 'society']",Chris Hayes: “The one advantage we have here…is that we have something to collectively combat as a society to help us mobilize towards that aim.”
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/mtp-daily/watch/white-house-calls-for-trillion-dollar-coronavirus-package-80864837639,"['coronavirus', 'leigh', 'playing', 'calls', 'package', 'white', 'nbcs', 'houses', 'trilliondollar', 'house', 'discusses', 'hill']",NBC's Leigh Ann Caldwell discusses how the White House's call for a trillion-dollar coronavirus package is playing on Capitol Hill.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/11th-hour/watch/trump-it-s-not-racist-to-call-coronavirus-the-chinese-virus-80950341970,"['coronavirus', 'racist', 'referring', 'virus', 'reacts', 'chinese', 'defending', 'phrase', 'ian', 'pandemic', 'president', 'repeated', 'trump']",The president is defending his repeated use of the phrase 'Chinese virus' when referring to the coronavirus pandemic. Ian Bremmer reacts.
