,level_0,index,Date,Newspaper,fb_sh
398,398,398,2020-03-05,Business_Insider,54946
407,407,407,2020-03-06,Business_Insider,133271
416,416,416,2020-03-07,Business_Insider,9873
425,425,425,2020-03-08,Business_Insider,9484
434,434,434,2020-03-09,Business_Insider,70298
447,447,447,2020-03-11,Business_Insider,27098
455,455,455,2020-03-12,Business_Insider,149511
464,464,464,2020-03-13,Business_Insider,414523
473,473,473,2020-03-14,Business_Insider,187942
482,482,482,2020-03-15,Business_Insider,58555
491,491,491,2020-03-16,Business_Insider,131839
499,499,499,2020-03-17,Business_Insider,167997
508,508,508,2020-03-18,Business_Insider,557805
517,517,517,2020-03-19,Business_Insider,61983
526,526,526,2020-03-20,Business_Insider,663716
535,535,535,2020-03-21,Business_Insider,47216
544,544,544,2020-03-22,Business_Insider,282948
553,553,553,2020-03-23,Business_Insider,68374
562,562,562,2020-03-24,Business_Insider,356450
571,571,571,2020-03-25,Business_Insider,252268
580,580,580,2020-03-26,Business_Insider,129960
589,589,589,2020-03-27,Business_Insider,114989
598,598,598,2020-03-28,Business_Insider,185928
606,606,606,2020-03-29,Business_Insider,23620
615,615,615,2020-03-30,Business_Insider,49036
623,623,623,2020-03-31,Business_Insider,102623
632,632,632,2020-04-01,Business_Insider,82641
640,640,640,2020-04-02,Business_Insider,167568
649,649,649,2020-04-03,Business_Insider,201434
666,666,666,2020-04-05,Business_Insider,45856
675,675,675,2020-04-06,Business_Insider,361662
684,684,684,2020-04-07,Business_Insider,23568
693,693,693,2020-04-08,Business_Insider,370953
702,702,702,2020-04-09,Business_Insider,34822
719,719,719,2020-04-11,Business_Insider,29648
725,725,725,2020-04-12,Business_Insider,9476
1,1,1,2020-01-09,Financial Times,15
15,15,15,2020-01-15,Financial Times,60
19,19,19,2020-01-16,Financial Times,44
38,38,38,2020-01-20,Financial Times,146
46,46,46,2020-01-21,Financial Times,32
55,55,55,2020-01-22,Financial Times,19
63,63,63,2020-01-23,Financial Times,171
72,72,72,2020-01-24,Financial Times,0
79,79,79,2020-01-25,Financial Times,5
87,87,87,2020-01-26,Financial Times,12
94,94,94,2020-01-27,Financial Times,11
102,102,102,2020-01-28,Financial Times,18
111,111,111,2020-01-29,Financial Times,30
120,120,120,2020-01-30,Financial Times,9
129,129,129,2020-01-31,Financial Times,45
138,138,138,2020-02-01,Financial Times,3
147,147,147,2020-02-02,Financial Times,3
153,153,153,2020-02-03,Financial Times,99
162,162,162,2020-02-04,Financial Times,77
171,171,171,2020-02-05,Financial Times,15
180,180,180,2020-02-06,Financial Times,25
189,189,189,2020-02-07,Financial Times,205
197,197,197,2020-02-08,Financial Times,5
204,204,204,2020-02-09,Financial Times,187
210,210,210,2020-02-10,Financial Times,6
219,219,219,2020-02-11,Financial Times,40
230,230,230,2020-02-13,Financial Times,0
238,238,238,2020-02-14,Financial Times,0
247,247,247,2020-02-16,Financial Times,7
256,256,256,2020-02-17,Financial Times,357
264,264,264,2020-02-18,Financial Times,665
273,273,273,2020-02-19,Financial Times,820
280,280,280,2020-02-20,Financial Times,121
289,289,289,2020-02-21,Financial Times,663
306,306,306,2020-02-23,Financial Times,1567
314,314,314,2020-02-24,Financial Times,476
319,319,319,2020-02-25,Financial Times,587
328,328,328,2020-02-26,Financial Times,1636
337,337,337,2020-02-27,Financial Times,1018
346,346,346,2020-02-28,Financial Times,1513
355,355,355,2020-02-29,Financial Times,179
363,363,363,2020-03-01,Financial Times,346
372,372,372,2020-03-02,Financial Times,323
381,381,381,2020-03-03,Financial Times,478
390,390,390,2020-03-04,Financial Times,505
399,399,399,2020-03-05,Financial Times,2511
408,408,408,2020-03-06,Financial Times,2468
417,417,417,2020-03-07,Financial Times,697
426,426,426,2020-03-08,Financial Times,6096
435,435,435,2020-03-09,Financial Times,2340
441,441,441,2020-03-10,Financial Times,1403
448,448,448,2020-03-11,Financial Times,5429
456,456,456,2020-03-12,Financial Times,6634
465,465,465,2020-03-13,Financial Times,11824
474,474,474,2020-03-14,Financial Times,518
483,483,483,2020-03-15,Financial Times,3445
492,492,492,2020-03-16,Financial Times,2160
500,500,500,2020-03-17,Financial Times,2560
509,509,509,2020-03-18,Financial Times,8199
518,518,518,2020-03-19,Financial Times,45877
527,527,527,2020-03-20,Financial Times,75403
536,536,536,2020-03-21,Financial Times,6872
545,545,545,2020-03-22,Financial Times,10849
554,554,554,2020-03-23,Financial Times,8247
563,563,563,2020-03-24,Financial Times,19045
572,572,572,2020-03-25,Financial Times,25378
581,581,581,2020-03-26,Financial Times,1621
590,590,590,2020-03-27,Financial Times,9278
607,607,607,2020-03-29,Financial Times,5100
616,616,616,2020-03-30,Financial Times,7096
624,624,624,2020-03-31,Financial Times,8310
633,633,633,2020-04-01,Financial Times,5159
641,641,641,2020-04-02,Financial Times,10877
650,650,650,2020-04-03,Financial Times,17510
658,658,658,2020-04-04,Financial Times,5157
667,667,667,2020-04-05,Financial Times,10467
676,676,676,2020-04-06,Financial Times,11128
685,685,685,2020-04-07,Financial Times,5066
694,694,694,2020-04-08,Financial Times,2278
703,703,703,2020-04-09,Financial Times,2424
711,711,711,2020-04-10,Financial Times,3433
