,level_0,index,Date,Newspaper,fb_sh
672,672,672,2020-04-05,The Guardian,81616
681,681,681,2020-04-06,The Guardian,191754
690,690,690,2020-04-07,The Guardian,65556
699,699,699,2020-04-08,The Guardian,32946
708,708,708,2020-04-09,The Guardian,68556
716,716,716,2020-04-10,The Guardian,57758
723,723,723,2020-04-11,The Guardian,12929
730,730,730,2020-04-12,The Guardian,46462
43,43,43,2020-01-20,WSJ,1799
52,52,52,2020-01-21,WSJ,209
60,60,60,2020-01-22,WSJ,5
69,69,69,2020-01-23,WSJ,346
76,76,76,2020-01-24,WSJ,471
84,84,84,2020-01-25,WSJ,133
91,91,91,2020-01-26,WSJ,281
100,100,100,2020-01-27,WSJ,930
108,108,108,2020-01-28,WSJ,95
117,117,117,2020-01-29,WSJ,329
126,126,126,2020-01-30,WSJ,192
135,135,135,2020-01-31,WSJ,1314
144,144,144,2020-02-01,WSJ,621
150,150,150,2020-02-02,WSJ,38
159,159,159,2020-02-03,WSJ,143
168,168,168,2020-02-04,WSJ,43
177,177,177,2020-02-05,WSJ,826
186,186,186,2020-02-06,WSJ,323
195,195,195,2020-02-07,WSJ,268
202,202,202,2020-02-08,WSJ,164
216,216,216,2020-02-10,WSJ,524
225,225,225,2020-02-11,WSJ,710
227,227,227,2020-02-12,WSJ,0
235,235,235,2020-02-13,WSJ,0
242,242,242,2020-02-14,WSJ,0
244,244,244,2020-02-15,WSJ,0
253,253,253,2020-02-16,WSJ,0
261,261,261,2020-02-17,WSJ,1030
270,270,270,2020-02-18,WSJ,636
277,277,277,2020-02-19,WSJ,3981
286,286,286,2020-02-20,WSJ,1028
295,295,295,2020-02-21,WSJ,631
303,303,303,2020-02-22,WSJ,371
311,311,311,2020-02-23,WSJ,3300
317,317,317,2020-02-24,WSJ,17674
325,325,325,2020-02-25,WSJ,5925
334,334,334,2020-02-26,WSJ,1942
343,343,343,2020-02-27,WSJ,6512
352,352,352,2020-02-28,WSJ,1564
360,360,360,2020-02-29,WSJ,3364
369,369,369,2020-03-01,WSJ,5431
378,378,378,2020-03-02,WSJ,3524
387,387,387,2020-03-03,WSJ,6208
396,396,396,2020-03-04,WSJ,19368
405,405,405,2020-03-05,WSJ,2114
414,414,414,2020-03-06,WSJ,5097
423,423,423,2020-03-07,WSJ,3751
432,432,432,2020-03-08,WSJ,536
439,439,439,2020-03-09,WSJ,8439
445,445,445,2020-03-10,WSJ,1576
453,453,453,2020-03-11,WSJ,7681
462,462,462,2020-03-12,WSJ,132042
471,471,471,2020-03-13,WSJ,4620
480,480,480,2020-03-14,WSJ,7768
489,489,489,2020-03-15,WSJ,5413
497,497,497,2020-03-16,WSJ,8890
506,506,506,2020-03-17,WSJ,24653
515,515,515,2020-03-18,WSJ,24952
524,524,524,2020-03-19,WSJ,17164
533,533,533,2020-03-20,WSJ,40135
542,542,542,2020-03-21,WSJ,5054
551,551,551,2020-03-22,WSJ,19380
560,560,560,2020-03-23,WSJ,14392
569,569,569,2020-03-24,WSJ,44046
578,578,578,2020-03-25,WSJ,9971
587,587,587,2020-03-26,WSJ,16039
596,596,596,2020-03-27,WSJ,7950
604,604,604,2020-03-28,WSJ,13185
613,613,613,2020-03-29,WSJ,15405
621,621,621,2020-03-30,WSJ,18333
630,630,630,2020-03-31,WSJ,13872
638,638,638,2020-04-01,WSJ,7208
647,647,647,2020-04-02,WSJ,1311
656,656,656,2020-04-03,WSJ,66960
664,664,664,2020-04-04,WSJ,17338
673,673,673,2020-04-05,WSJ,22869
682,682,682,2020-04-06,WSJ,7853
691,691,691,2020-04-07,WSJ,12707
700,700,700,2020-04-08,WSJ,26331
709,709,709,2020-04-09,WSJ,29858
717,717,717,2020-04-10,WSJ,8453
724,724,724,2020-04-11,WSJ,1342
731,731,731,2020-04-12,WSJ,4352
