Month End Date,open,high,low,close,volume
2020-04-17,21227.3809,24150.1992,10000.0000,23956.2207,5877773760
2020-03-31,25590.5098,27102.3398,18213.6504,21917.1602,15521140000
2020-02-28,28319.6504,29568.5703,24681.0098,25409.3594,6991990000
2020-01-31,28638.9707,29373.6191,28169.5293,28256.0293,6170770000
